restaurant_id,name,city,country,cuisine
7724772b-216a-45cc-986b-291e527fda4f,"Silver Brasserie","Tommyemouth","Republic of Korea",Chinese
184ce8de-adce-47b5-90fb-660c1a06dc38,"Blue Plate Cafe","Lake Julissamouth","American Samoa",Mexican
908e593b-b660-4850-8b44-a4c80e9bc400,"ANG Coffee","Davishaven","Australia",French
2f5473c0-2cd9-4107-bb82-e9550ff23f1f,"2615 Pizza","East Vernon","Gambia",Indian
975c19c1-7427-41b5-a623-22befeb0c9b0,"IWE Grill & Tap","Johnsberg","Slovenia",Indian
a97e7bea-6faa-4a4c-b60c-9fad4c5b7d25,"Smokestack Subs","Marvinshire","Japan",Polish
570f0bc9-1ca4-4dbe-a47b-af20656cd9c1,"Fast Deli","Lake Hermina","Iceland",Mexican
96285c17-d68e-498b-9ec6-dea4b5151e7d,"Thirsty Deli","New Charlie","Angola",Thai
29f428f2-33a4-487b-bbc6-a0971ce6e348,"02 Grill & Tap","Darrickmouth","Turks and Caicos Islands",Polish
612d53e4-cdbb-4b77-a993-84140c268d35,"Salty Spoon","Herbertstad","Tajikistan",American
d5bbfcb3-e1f3-48af-937a-6a0c92262fd8,"Sugar Diner","Purdyfurt","United States of America",American
e9b1d18c-616a-4ec7-bd72-d5f97624a6c0,"Big Diner","Lake Antoniamouth","Botswana",Chinese
ca2baef3-f55a-41d4-bbde-f9077857b3a3,"Fast Curry","West Rooseveltview","American Samoa",Italian
82d7dcaa-ec24-4ced-9123-b63c47fac9ce,"Belly House","Blockside","Syrian Arab Republic",Italian
3825b308-f93f-4c8f-b7ed-e2dba8ae1920,"Salty Box","South Shaun","Philippines",Greek
8766ecc7-b05b-4c8d-a7fd-ee1cee37def9,"OY House","Reubenview","Barbados",Polish
684eb759-a637-4b17-8b8e-f3b9dda1e943,"Fat BBQ","Efrenside","Philippines",Mexican
3e1b80d8-ab9e-4298-9020-0511591e8e0a,"Big Spoon","Swiftberg","Czech Republic",French
3cadef76-e5d8-4aea-a266-3301330826e9,"Red Deli","West Lavondahaven","Brunei Darussalam",Indian
53493495-2f16-4cbc-919b-14ee48691e3c,"Spice Deli","Franeckimouth","Turks and Caicos Islands",Greek
98e93f19-d779-4d47-bb63-7258a56de895,"Sugar Grill","Rashadport","Philippines",Greek
7f3a4870-cc51-4333-8fcb-bdf3cea07450,"Thirsty Grill & Tap","South Monteburgh","Vietnam",Japanese
190880f7-4d41-4f33-a62f-5ab1061f9fd4,"Hungry Juice Bar","Cummeratachester","Gabon",Polish
2c6359b4-d798-4bbe-99ab-3e8fbadbd262,"Spice Cafe","East Metashire","Dominican Republic",American
4a3cd611-02a9-4463-83e3-80dbc76a2369,"Fast Brasserie","Osinskiburgh","Turks and Caicos Islands",American
a891527a-3a1c-4845-97b7-fd9caf366a69,"Sweet Subs","Bergnaummouth","Andorra",French
282503ba-664d-4776-a193-417807799d5a,"Fast Grill & Tap","Haywoodbury","Gibraltar",Greek
f52bd2e3-4ca4-4679-9e7f-05226692dcb7,"Big Brasserie","Port Nelson","Australia",Polish
9ed49544-ec28-41ed-83fc-de5482991983,"Hungry Box","New Kellye","Mauritania",Mexican
55e5344c-0280-417c-833b-6255502da6a7,"Big King","North Elvis","Belize",French
d3b72406-e3a3-4280-b5f8-ccfb4c788205,"Orange Pub","Emardtown","Lebanon",Mexican
ab00c3c7-08d7-4aab-a56d-f9f1d60021ad,"0331 Dragon","West Jarod","Afghanistan",Indian
e7266698-2ec7-4c14-b895-eca82106ba34,"Blue Coffee","New Odiliashire","United Kingdom",Polish
aa2a167f-a069-4656-ba88-eeb834d91705,"Fat BBQ","Hyattview","Northern Mariana Islands",Italian
22d079cb-6fe4-462b-a3e6-8112b2b077d0,"Smokestack Pub","Marquettafort","Jordan",Mexican
f2a7ed2d-1332-4946-a6b0-7ea433131b3b,"Golden Diner","Port Enoch","Cocos (Keeling) Islands",Chinese
c0f65332-f4c2-45a0-b0dc-b7df5f82ac14,"LK Box","Johnathantown","United Arab Emirates",Italian
6e45791e-cc59-48ee-b154-f16ee2513526,"Spice Diner","Buckridgetown","Bosnia and Herzegovina",Chinese
493ae384-7dcf-4642-8a4e-628e99aea43b,"Sweet Subs","Paucekshire","Cyprus",Chinese
79e26f41-d3ad-4670-ab5a-92c5d11ef7df,"Spice Eatery","Ramontown","Tanzania",French
0164dd5d-2ea8-4790-8109-18e95ade1240,"Green Diner","West Britt","Barbados",Italian
8485de54-d0d8-4768-86bb-66d240093d10,"Red Pub","North Arnulfotown","Greenland",Italian
1803130e-4d66-4764-888a-66c441d672fa,"Thirsty Pizza","Welchborough","Guadeloupe",American
3beb2599-7cf6-49a2-8402-4f7a1f931c16,"Orange Subs","Lake Raymond","Reunion",Japanese
00b656a8-5be6-4617-b05e-4e1e7324fce8,"Green Pizza","West Shavonnehaven","France",Italian
5b49957a-e5cb-4eb5-bc0f-d6015a190b26,"Hungry Steakhouse","Robbieberg","Bosnia and Herzegovina",Japanese
c625061f-b823-4a6d-91f6-b4d96ef8d8d0,"Fast Coffee","Lemkefort","Venezuela",Japanese
3e4f58e3-d010-4e2f-8436-e32feb060d68,"Spice Brasserie","Bergstromfurt","Belgium",American
cbbf3700-d041-4a6f-bbae-57ecee0ef71e,"957 Creamery","Wesleychester","Botswana",Polish
fc7ebb20-87d5-411a-90d7-cf1f4434c2b0,"SUY Pizza","Donnieville","Kenya",Chinese
70b42e1d-bda9-46ed-8cfd-6ef3835bf152,"Hungry Kitchen","Garlandbury","French Southern Territories",Indian
94a0f577-45ca-440d-9e59-e2d28f0eb70a,"172 Deli","South Larrainetown","Panama",Italian
543b8598-e8a8-4089-acaa-de7c20c93a58,"Blue BBQ","Meredithton","India",French
88a7f7d7-ad67-4fde-aab3-674fe8f8db12,"1191 Sushi","Cedrictown","Taiwan",American
c8f6cddd-0f8d-457c-a3e5-2049a6a223a9,"Blue Plate Eats","Hiltonton","San Marino",Mexican
b0a2db04-9c70-4bf8-a95c-d1eba28aa62c,"Blue Plate Cafe","Natashiaview","Peru",Chinese
48cc92b4-892d-42ce-8c32-f65e07f8cdbc,"Thirsty Deli","McDermottfurt","Tajikistan",Italian
2768da6d-df33-4a5c-b5e6-53fa38d1b87d,"29 Grill & Tap","North Delmy","Dominica",American
61ba86e0-272d-428c-a49e-6d82558aefa3,"Hungry Deli","New Kenneth","Equatorial Guinea",Thai
fc229012-0965-4f12-82cb-06619af8a64b,"Blue Grill","West Henry","Heard Island and McDonald Islands",Chinese
05dbcb4c-076a-4ad3-8724-795f8c09b377,"Smokestack House","South Debroah","Anguilla",Greek
a22547a5-5d15-493c-81b4-d856a67af484,"Blue Dragon","Lake Jamie","New Zealand",Polish
a4818069-1c3d-4e4c-bbdb-848ff4f2cd20,"2897 King","Norbertoborough","Nigeria",Greek
1bbc7c39-54c8-4e01-bab1-a18598f0c1a6,"Salty Deli","New Edgardoburgh","Papua New Guinea",American
19e9d68d-123c-401d-aa30-3fee7345a0f3,"Big King","Rowemouth","Holy See (Vatican City State)",American
0fc8cd80-e549-40a5-82fd-20e2e7d3fe3c,"Big King","Lake Darci","Greenland",Chinese
11569f18-00f0-486a-bef4-3ffe91b24f76,"Green King","Chungbury","Central African Republic",Mexican
3c013bca-dc95-4389-ad74-81cafbb6b81f,"Thirsty Juice Bar","East Noella","Georgia",American
c3eaed9f-13d1-4e0b-8233-a4ac29c424d9,"Smokestack Pizza","Lake Renate","Armenia",Indian
4822f4a4-aa52-4289-b5b8-d19062c68242,"BB Pub","Willmsfurt","Latvia",Indian
792198d2-605e-431f-ab10-13847f5046f1,"FKW Spoon","Tremblayborough","Northern Mariana Islands",Thai
b649a657-6bda-4b0a-8b87-a5358feda684,"Blue Plate Eatery","Jonieberg","Albania",Italian
9eac6c57-c56e-40d0-a027-9c9def8aadd2,"Green Shakes","Delilahborough","Syrian Arab Republic",Mexican
d7304d1c-988e-48f6-8009-9b981a3a05b4,"Belly Eats","Bauchchester","Montserrat",Chinese
2d12fecb-b5e9-4f66-bc24-a3ae7a3e781c,"643 Deli","Billybury","Norway",American
687ae254-4739-411d-8552-e5cd9d48908d,"Smokestack Grill","New Ngahaven","India",Chinese
15f04693-6ab4-48eb-be8a-1820b5b553dc,"896 Bar & Grill","South Hungmouth","Mali",Polish
0b5f1270-14c4-412f-9b1b-c0019a528c34,"Orange Spoon","Jayton","Serbia",Chinese
a483d2b5-5568-46d2-a485-3a9710535f08,"Smokestack BBQ","New Stuartside","Eritrea",Japanese
3722936e-ca2d-425d-a814-edd25877826c,"Big House","South Cliff","Turks and Caicos Islands",Polish
3331adf1-b227-4531-8305-2db41537c5ca,"Sweet Dragon","Binsburgh","Mauritius",Polish
bcc75f1e-c1b5-42d2-ac1c-1cd843b1184f,"Sugar Eatery","Mullerburgh","Cameroon",French
0c1a7311-f554-4ca2-a217-2a29908ab547,"Blue Plate Curry","Predovicside","Guadeloupe",Chinese
